gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,csho,ebit,lct,lt,ni,sale,costat,prcc_c
1004,20210531,2020,INDL,C,D,STD,AIR,USD,937,1539.7,974.4,35.375,65.5,336.8,565.3,35.8,1651.4,A,36.22
1045,20211231,2021,INDL,C,D,STD,AAL,USD,17336,66467,-7340,647.728,-5514,19006,73807,-1993,29882,A,17.96
1075,20211231,2021,INDL,C,D,STD,PNW,USD,1551.1,22003.222,5906.2,112.927,805.31,1756.869,15981.762,618.72,3803.835,A,70.59
1078,20211231,2021,INDL,C,D,STD,ABT,USD,24239,75196,35802,1764.082,8966,13105,39172,7071,43075,A,140.74
1161,20211231,2021,INDL,C,D,STD,AMD,USD,8583,12419,7497,1207,3678,4240,4922,3162,16434,A,143.9
1209,20210930,2021,INDL,C,D,STD,APD,USD,8376.3,26859.2,13539.7,221.397,2215,2799.1,12771.2,2099.1,10323,A,304.26
1230,20211231,2021,INDL,C,D,STD,ALK,USD,3920,13951,3801,125.906,-240,3991,10150,478,6176,A,52.1
1234,20211231,2021,INDL,C,D,STD,ATRI,USD,136.571,267.264,244.296,1.801,36.042,13.346,,33.055,165.009,A,704.9
1254,20211231,2021,INDL,C,D,STD,MATX,USD,704.5,3693.1,1667.4,41,1131.2,612.4,2025.7,927.4,3925.3,A,90.03
1257,20211231,2021,INDL,C,D,STD,ALX,USD,,1391.965,252.589,5.107,76.197,,1139.376,132.93,206.148,A,260.3
1300,20211231,2021,INDL,C,D,STD,HON,USD,25372,64470,18569,684.8,6769,19508,45221,5542,34392,A,208.51
1327,20210930,2021,INDL,C,D,STD,SWKS,USD,2865.4,8590.7,5297.1,165.3,1692.7,658.5,3293.6,1498.3,5109.1,A,155.14
1380,20211231,2021,INDL,C,D,STD,HES,USD,4346,20515,6300,309.745,2008,3064,13489,559,7473,A,74.03
1410,20211031,2021,INDL,C,D,STD,ABM,USD,1401.1,4436.2,1609.2,67.302,406.4,1285.8,2827,126.3,6228.6,A,40.85
1414,20211231,2021,INDL,C,D,STD,PRI,USD,,16123.223,2082.512,39.368,639.664,,14033.44,373.357,2709.732,A,153.27
1439,20211231,2021,INDL,C,D,STD,ECOL,USD,364.218,1805.398,624.324,31.27,36.902,186.934,1181.074,5.337,988.001,A,31.94
1440,20211231,2021,INDL,C,D,STD,AEP,USD,7809.2,87668.7,22433.2,504.212,3372.3,12426.7,64945.2,2488.1,16792,A,88.97
1447,20211231,2021,INDL,C,D,STD,AXP,USD,,188548,22177,761,10121,,166371,8060,43663,A,163.6
1449,20211231,2021,INDL,C,D,STD,AFL,USD,,157542,33253,652.132,4565,,124289,4325,21037,A,58.39
1487,20211231,2021,INDL,C,D,STD,AIG,USD,,596112,65471,818.687,11322,,527200,9388,52046,A,56.86
1526,20211231,2021,INDL,C,D,STD,ANAT,USD,,31320.321,6994.368,26.887,695.816,,24318.262,699.325,4203.114,A,188.84
1562,20210430,2020,INDL,C,D,STD,AMSWA,USD,136.623,177.157,122.391,32.863,4.361,50.664,54.766,8.089,111.408,A,17.17
1585,20211231,2021,INDL,C,D,STD,AVD,USD,342,694.16,372.738,30.887,33.684,223.061,321.422,18.587,556.872,A,16.39
1598,20211231,2021,INDL,C,D,STD,AME,USD,2128.765,11898.187,6871.884,231.662,1308.67,1563.314,5026.303,990.053,5546.514,A,147.04
1602,20211231,2021,INDL,C,D,STD,AMGN,USD,19385,61165,6700,558.3,9274,12184,54465,5893,25979,A,224.97
1632,20211031,2021,INDL,C,D,STD,ADI,USD,5378.317,52322.071,37992.542,525.331,1889.516,2770.312,14329.529,1390.422,7318.286,A,175.77
1659,20211231,2021,INDL,C,D,STD,ANDE,USD,3372.328,4569.219,1072.425,33.859,168.945,2463.929,3261.515,103.986,12612.05,A,38.71
1661,20211231,2021,INDL,C,D,STD,NBR,USD,1517.809,5525.364,590.656,8.205,-219.731,525.228,4131.143,-569.272,2017.548,A,81.09
1678,20211231,2021,INDL,C,D,STD,APA,USD,2380,13303,-1595,346.931,2738,2117,13308,973,8079,A,26.89
1686,20210228,2020,INDL,C,D,STD,APOG,USD,350.674,1015.099,492.745,25.714,74.685,217.552,522.354,15.436,1230.774,A,31.68
1690,20210930,2021,INDL,C,D,STD,AAPL,USD,134836,351002,63090,16426.786,108949,125481,287912,94680,365817,A,177.57
1704,20211031,2021,INDL,C,D,STD,AMAT,USD,16107,25825,12247,892,7269,6344,13578,5888,23063,A,157.36
1722,20211231,2021,INDL,C,D,STD,ADM,USD,31909,56136,22477,560,3038,21948,33369,2709,85249,A,67.59
1743,20211231,2021,INDL,C,D,STD,ARCB,USD,776.053,2112.676,929.067,24.867,271.356,702.694,1183.609,213.521,3980.067,A,119.85
1773,20211231,2021,INDL,C,D,STD,ARW,USD,15893.323,19535.54,5282.295,68.066,1572.215,11326.089,14194.694,1108.197,34477.018,A,134.27
1794,20210930,2021,INDL,C,D,STD,ASH,USD,1717,6612,2752,57,197,934,3860,220,2111,A,107.66
1823,20211231,2021,INDL,C,D,STD,ATRO,USD,339.861,609.138,256.604,31.478,-37.626,118.613,352.534,-25.578,444.908,A,12
1864,20210131,2020,INDL,C,D,STD,REX,USD,258.75,479.345,384.783,5.992,-3.8,30.737,42.162,3.001,372.846,A,73.47
1878,20210131,2020,INDL,C,D,STD,ADSK,USD,2699.2,7279.8,965.5,219.6,650.6,3254.7,6314.3,1208.2,3790.4,A,305.34
1891,20210630,2021,INDL,C,D,STD,ADP,USD,40741.8,48772.5,5670.1,423.7,3293.9,38094.8,43102.4,2598.5,15005.4,A,246.58
1913,20211231,2021,INDL,C,D,STD,AVY,USD,2734.6,7971.6,1924.4,82.606,1064.3,2547.9,6047.2,740.1,8408.3,A,216.57
1919,20210630,2021,INDL,C,D,STD,AVT,USD,7163.421,8925.422,4084.184,99.601,365.799,3055.238,4841.238,193.114,19534.679,A,41.23
1926,20210228,2020,INDL,C,D,STD,AZZ,USD,303.492,996.442,623.292,25.108,81.613,113.85,373.15,39.614,838.917,A,47.44
1968,20211231,2021,INDL,C,D,STD,BMI,USD,261.36,530.818,403.07,29.25,78.723,82.146,,60.884,505.198,A,106.56
1979,20211231,2021,INDL,C,D,STD,BCPC,USD,322.232,1199.325,877.015,32.287,129.625,143.802,322.31,96.104,799.023,A,168.6
1988,20211231,2021,INDL,C,D,STD,BLL,USD,5223,19714,3627,320.844,1433,5953,16029,878,13811,A,96.27
2002,20211231,2021,INDL,C,D,STD,BPOP,USD,,75097.899,5947.254,79.851,1902.819,,69128.502,934.889,2764.765,A,82.04
2005,20211231,2021,INDL,C,D,STD,BOH,USD,,22784.941,1431.611,40.253,407.819,,21173.33,253.372,698.069,A,83.76
2019,20211231,2021,INDL,C,D,STD,BK,USD,,444438,38196,804.145,7460,,401047,3759,16158,A,58.08
2049,20211231,2021,INDL,C,D,STD,B,USD,680.209,2576.82,1428.766,50.685,152.887,310.394,1148.054,99.873,1258.846,A,46.59
2086,20211231,2021,INDL,C,D,STD,BAX,USD,8872,33521,9077,501.615,2102,4236,24400,1284,12784,A,85.84
2101,20210630,2021,INDL,C,D,STD,AIT,USD,1196.575,2271.807,932.546,38.516,260.145,427.7,1339.261,144.757,3235.919,A,102.7
2111,20210930,2021,INDL,C,D,STD,BDX,USD,8838,53866,23675,284.476,3420,6626,30189,2092,20248,A,251.48
2136,20211231,2021,INDL,C,D,STD,VZ,USD,36728,366596,81790,4197.799,31742,47160,283396,22065,133613,A,51.96
2184,20210131,2020,INDL,C,D,STD,BBY,USD,12540,19067,4587,257,2606,10521,14480,1798,47262,A,99.79
2259,20211231,2021,INDL,C,D,STD,BKH,USD,808.133,9131.896,2787.094,64.739,409.429,901.713,6244.773,236.744,1949.102,A,70.57
2269,20210430,2020,INDL,C,D,STD,HRB,USD,1699.724,3653.646,352.401,181.466,769.627,1163.079,3301.245,583.791,3413.987,A,15.86
2285,20211231,2021,INDL,C,D,STD,BA,USD,108666,138552,-14999,588.917,-1016,81992,153398,-4202,62272,A,201.32
2312,20211231,2021,INDL,C,D,STD,RHI,USD,2268.547,2952.359,1381.051,110.686,742.505,1358.673,1571.308,598.626,6461.444,A,111.52
2352,20210731,2021,INDL,C,D,STD,BRC,USD,465.104,1377.756,963.028,52.067,170.291,257.584,414.728,129.659,1144.698,A,53.9
2403,20211231,2021,INDL,C,D,STD,BMY,USD,33262,109314,35946,2176,8825,21868,73308,6994,46385,A,62.35
2436,20210131,2020,INDL,C,D,STD,CAL,USD,782.556,1867.05,200.247,37.966,-65.041,905.509,1663.196,-439.114,2117.07,A,15.65
2444,20211231,2021,INDL,C,D,STD,BC,USD,2124.6,5425,1914.2,76.933,838,1442.2,3510.8,593.3,5846.2,A,100.73
2448,20211231,2021,INDL,C,D,STD,MTRN,USD,627.252,1607.479,720.44,20.448,104.237,204.509,887.039,72.474,1510.644,A,91.94
2497,20211231,2021,INDL,C,D,STD,MTZ,USD,2873.954,7121.393,2539.809,76.429,419.85,1784.598,4577.532,328.831,7951.781,A,92.28
2504,20211231,2021,INDL,C,D,STD,UIS,USD,1133,2419.5,-113.7,67.2,175.6,752.5,2483.9,-448.5,2054.4,A,20.57
2547,20211231,2021,INDL,C,D,STD,CI,USD,36134,154889,47112,322.948,8441,43572,107705,5365,174274,A,229.63
2558,20211231,2021,INDL,C,D,STD,CNA,USD,,66639,12809,271.364,1235,,53830,1202,11546,A,44.08
2574,20211231,2021,INDL,C,D,STD,CSX,USD,3873,40531,13490,2201.787,5061,2233,27031,3781,12522,A,37.6
2577,20211231,2021,INDL,C,D,STD,CTS,USD,289.089,664.462,463.578,32.179,78.166,114.066,200.884,-41.866,512.925,A,36.72
2593,20210930,2021,INDL,C,D,STD,CBT,USD,1425,3306,947,56.727,481,1147,2216,250,3400,A,56.2
2596,20210630,2021,INDL,C,D,STD,CACI,USD,1331.176,6172.372,2665.143,23.554,539.451,884.801,3507.094,457.443,6044.135,A,269.21
2615,20210228,2020,INDL,C,D,STD,CAMP,USD,214.288,433.805,95.085,35.229,0.196,107.245,338.72,-56.309,308.587,A,9.92
2628,20211231,2021,INDL,C,D,STD,CWT,USD,300.458,3623.271,1177.594,53.716,129.575,256.576,2440.291,101.125,790.909,A,71.86
2663,20210731,2021,INDL,C,D,STD,CPB,USD,1695,11734,3152,302,1302,1814,8580,1002,8476,A,43.46
2751,20210630,2021,INDL,C,D,STD,CAH,USD,31048,44453,1791,291,1909,27624,42659,611,162467,A,51.49
2771,20211231,2021,INDL,C,D,STD,CSL,USD,2150.9,7246.8,2629.5,52,605.4,1169.5,4617.3,421.7,4810.3,A,248.12
2787,20210630,2021,INDL,C,D,STD,CRS,USD,1117.4,2971.2,1392.3,48.041,-157.7,306.3,1578.9,-229.6,1475.6,A,29.19
2807,20210430,2020,INDL,C,D,STD,CASY,USD,723.633,4460.314,1932.679,36.95,492.449,612.749,2527.635,312.9,7654.189,A,178.62
2817,20211231,2021,INDL,C,D,STD,CAT,USD,43455,82793,16484,535.888,7711,29847,66277,6489,50971,A,206.74
2818,20210131,2020,INDL,C,D,STD,CATO,USD,290.55,591.452,246.498,22.604,-79.249,181.934,344.954,-47.483,575.111,A,9.59
2820,20210331,2020,INDL,C,D,STD,CVCO,USD,651.799,951.833,683.64,9.235,92.025,237.104,268.193,76.646,1108.051,A,175.45
2960,20211231,2021,INDL,C,D,STD,CHE,USD,230.286,1342.723,623.273,14.913,344.025,302.399,719.45,268.55,2139.261,A,529.04
2968,20211231,2021,INDL,C,D,STD,JPM,USD,,3743567,259289,2944.149,79890,,3449440,48334,127202,A,158.35
