gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,costat,ggroup
1004,20210531,2020,INDL,C,D,STD,AIR,USD,A,2010
1045,20211231,2021,INDL,C,D,STD,AAL,USD,A,2030
1075,20211231,2021,INDL,C,D,STD,PNW,USD,A,5510
1078,20211231,2021,INDL,C,D,STD,ABT,USD,A,3510
1161,20211231,2021,INDL,C,D,STD,AMD,USD,A,4530
1209,20210930,2021,INDL,C,D,STD,APD,USD,A,1510
1230,20211231,2021,INDL,C,D,STD,ALK,USD,A,2030
1234,20211231,2021,INDL,C,D,STD,ATRI,USD,A,3510
1254,20211231,2021,INDL,C,D,STD,MATX,USD,A,2030
1257,20211231,2021,INDL,C,D,STD,ALX,USD,A,6010
1300,20211231,2021,INDL,C,D,STD,HON,USD,A,2010
1327,20210930,2021,INDL,C,D,STD,SWKS,USD,A,4530
1380,20211231,2021,INDL,C,D,STD,HES,USD,A,1010
1410,20211031,2021,INDL,C,D,STD,ABM,USD,A,2020
1414,20211231,2021,INDL,C,D,STD,PRI,USD,A,4030
1439,20211231,2021,INDL,C,D,STD,ECOL,USD,A,2020
1440,20211231,2021,INDL,C,D,STD,AEP,USD,A,5510
1447,20211231,2021,INDL,C,D,STD,AXP,USD,A,4020
1449,20211231,2021,INDL,C,D,STD,AFL,USD,A,4030
1487,20211231,2021,INDL,C,D,STD,AIG,USD,A,4030
1526,20211231,2021,INDL,C,D,STD,ANAT,USD,A,4030
1562,20210430,2020,INDL,C,D,STD,AMSWA,USD,A,4510
1585,20211231,2021,INDL,C,D,STD,AVD,USD,A,1510
1598,20211231,2021,INDL,C,D,STD,AME,USD,A,2010
1602,20211231,2021,INDL,C,D,STD,AMGN,USD,A,3520
1632,20211031,2021,INDL,C,D,STD,ADI,USD,A,4530
1659,20211231,2021,INDL,C,D,STD,ANDE,USD,A,3010
1661,20211231,2021,INDL,C,D,STD,NBR,USD,A,1010
1678,20211231,2021,INDL,C,D,STD,APA,USD,A,1010
1686,20210228,2020,INDL,C,D,STD,APOG,USD,A,2010
1690,20210930,2021,INDL,C,D,STD,AAPL,USD,A,4520
1704,20211031,2021,INDL,C,D,STD,AMAT,USD,A,4530
1722,20211231,2021,INDL,C,D,STD,ADM,USD,A,3020
1743,20211231,2021,INDL,C,D,STD,ARCB,USD,A,2030
1773,20211231,2021,INDL,C,D,STD,ARW,USD,A,4520
1794,20210930,2021,INDL,C,D,STD,ASH,USD,A,1510
1823,20211231,2021,INDL,C,D,STD,ATRO,USD,A,2010
1864,20210131,2020,INDL,C,D,STD,REX,USD,A,1010
1878,20210131,2020,INDL,C,D,STD,ADSK,USD,A,4510
1891,20210630,2021,INDL,C,D,STD,ADP,USD,A,4510
1913,20211231,2021,INDL,C,D,STD,AVY,USD,A,1510
1919,20210630,2021,INDL,C,D,STD,AVT,USD,A,4520
1926,20210228,2020,INDL,C,D,STD,AZZ,USD,A,2010
1968,20211231,2021,INDL,C,D,STD,BMI,USD,A,4520
